agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
2,1324,788,976499258,41.78,27124947:38,976499258,33752583,33752579,"LINESTRING (-112.0365216 33.4462552, -112.0365754 33.4466282)"
2,788,899,824980274,106.89,22916111:14,824980274,0,0,"LINESTRING (-112.0365754 33.4466282, -112.0365737 33.4471126, -112.0365716 33.4472138)"
2,899,1174,824980279,124.35,22916111:19,824980279,5,3,"LINESTRING (-112.0365716 33.4472138, -112.0365694 33.4473187, -112.0365683 33.4473708)"
2,1174,1493,875703352,191.68,24325055:52,875703352,50723073,50723066,"LINESTRING (-112.0365683 33.4473708, -112.0364212 33.4473687, -112.0358427 33.4473606)"
2,1493,1171,741552684,306.42,20598651:24,741552684,0,0,"LINESTRING (-112.0358427 33.4473606, -112.0348992 33.4473474, -112.0347286 33.447345, -112.0346062 33.4473433)"
2,1171,1164,875442995,509.78,24317836:35,875442995,133890311,133890292,"LINESTRING (-112.0346062 33.4473433, -112.0344959 33.4473416, -112.0335233 33.4473263, -112.0324148 33.4473072)"
2,1164,1161,942878777,541.99,26191046:17,942878777,67435782,67435779,"LINESTRING (-112.0324148 33.4473072, -112.0320678 33.4472983)"
2,1161,1816,741488432,562.59,20596900:32,741488432,0,0,"LINESTRING (-112.0320678 33.4472983, -112.0318458 33.447294)"
2,1816,1128,842084653,716.35,23391224:13,842084653,100596221,100596206,"LINESTRING (-112.0318458 33.447294, -112.0305354 33.4472685, -112.0303545 33.4472726, -112.0301892 33.4472799)"
2,1128,1129,859058222,746.18,23862717:02,859058222,16973569,16973566,"LINESTRING (-112.0301892 33.4472799, -112.0300244 33.4472871, -112.029868 33.4472833)"
3,1606,1438,66097,7.20,1821:37,165,0,0,"LINESTRING (-112.0301792 33.4621602, -112.0302332 33.4621137)"
3,1438,1439,66097,10.67,1821:37,165,0,0,"LINESTRING (-112.0302332 33.4621137, -112.0302552 33.4620885)"
