name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway
,1705,30022242,864,871,1,83.91746136,1,45,,motorway,1,"LINESTRING (-112.0347353 33.4613467, -112.0342833 33.461434, -112.0338533 33.4615144)",0
,1706,30022256,861,864,1,482.0205219,1,45,,motorway,1,"LINESTRING (-112.0388219 33.4628026, -112.0387816 33.462585, -112.0386671 33.4622902, -112.0385741 33.4621306, -112.038415 33.4619024, -112.0382653 33.4617414, -112.0380826 33.4615802, -112.0379415 33.4614878, -112.0377726 33.4613984, -112.0374567 33.4612557, -112.0371512 33.46116, -112.0367162 33.4610916, -112.0364223 33.4610827, -112.0361453 33.461093, -112.0359313 33.461133, -112.0354456 33.4612209, -112.0347353 33.4613467)",0
Piestewa Freeway,1707,30022321,745,718,1,328.1170382,2,55,,motorway,1,"LINESTRING (-112.0381287 33.4595994, -112.0379407 33.4590546, -112.0378484 33.4587881, -112.0378018 33.4586506, -112.0377537 33.4584584, -112.0377037 33.4582398, -112.0376419 33.4579391, -112.0376125 33.4577412, -112.0375724 33.4574097, -112.0375098 33.4567046)",0
,1708,30022323,865,745,1,55.55378329,1,59,,motorway,1,"LINESTRING (-112.0382243 33.4600926, -112.0381287 33.4595994)",0
,1709,30022340,749,865,1,160.3623977,1,59,,motorway,1,"LINESTRING (-112.0380071 33.4615066, -112.038133 33.4612058, -112.0381978 33.4609992, -112.0382264 33.4608442, -112.0382532 33.4605184, -112.0382474 33.4603398, -112.0382243 33.4600926)",0
Piestewa Freeway,1710,30022348,866,729,1,180.5996812,2,55,,motorway,1,"LINESTRING (-112.0383669 33.4616852, -112.0383961 33.4612065, -112.0384134 33.4608865, -112.0383906 33.4605139, -112.0383674 33.4603326, -112.0383133 33.4600673)",0
,1711,30022356,867,749,1,70.18190905,1,59,,motorway,1,"LINESTRING (-112.0376078 33.4620412, -112.0377122 33.46192, -112.0378268 33.4617858, -112.0380071 33.4615066)",0
,1712,30022360,821,867,1,88.89902677,1,59,,motorway,1,"LINESTRING (-112.0368697 33.4625399, -112.0371716 33.4623914, -112.0374448 33.4622034, -112.0376078 33.4620412)",0
Red Mountain Freeway,1713,30022372,770,868,1,346.3157512,2,59,,motorway,1,"LINESTRING (-112.0401161 33.461185, -112.0397398 33.4611851, -112.0394043 33.4612109, -112.0391834 33.4612312, -112.0388833 33.4612719, -112.0382835 33.4613909, -112.0377013 33.4615007, -112.0373115 33.4615705, -112.0369438 33.4616256, -112.0364433 33.4616985)",0
Red Mountain Freeway,1714,30022597,868,0,1,351.200214,2,59,,motorway,1,"LINESTRING (-112.0364433 33.4616985, -112.0357976 33.4618158, -112.0352569 33.4618797, -112.0348578 33.4619176, -112.0340414 33.4619611, -112.0335858 33.4619656, -112.0326826 33.4619887)",0
,1715,30022603,747,748,1,374.2917588,1,65,,motorway,1,"LINESTRING (-112.0405593 33.4612912, -112.0400197 33.4613012, -112.0394274 33.4613298, -112.0390412 33.4613943, -112.0386121 33.4615017, -112.038243 33.4616592, -112.0380213 33.4618051, -112.0378253 33.4619552, -112.0375907 33.4621891, -112.0375054 33.4623452, -112.037411 33.4625815, -112.0373681 33.4627676)",0
,1716,30022609,748,880,1,85.89155885,1,65,,motorway,1,"LINESTRING (-112.0373681 33.4627676, -112.0373418 33.4630125, -112.0373604 33.4632793, -112.0374539 33.4635266)",0
,1717,30022669,766,0,1,366.0583364,1,65,,motorway,1,"LINESTRING (-112.0366272 33.462054, -112.0358189 33.4620292, -112.035261 33.4620209, -112.0348567 33.4620198, -112.0340358 33.4620277, -112.0335832 33.4620158, -112.0326826 33.4619887)",0
,1718,30022672,767,768,1,591.4169379,1,65,,motorway,1,"LINESTRING (-112.0366304 33.4621132, -112.037001 33.4621241, -112.0374028 33.4621343, -112.037709 33.4621271, -112.0380373 33.4621056, -112.039025 33.4620412, -112.0396344 33.4619982, -112.0402524 33.461991, -112.0410334 33.461991, -112.0416514 33.4619982, -112.0429989 33.4620125)",0
,1719,30022682,768,769,1,346.3291793,1,65,,motorway,1,"LINESTRING (-112.0429989 33.4620125, -112.0443701 33.4620369, -112.0450638 33.4620661, -112.0458293 33.4621105, -112.0467187 33.4622253)",0
,1720,30022688,765,766,1,591.7103604,1,65,,motorway,1,"LINESTRING (-112.0429986 33.4619585, -112.0417369 33.4619442, -112.0406472 33.4619266, -112.0399004 33.4619338, -112.0389992 33.4619767, -112.0380342 33.4620447, -112.0377091 33.4620674, -112.0374114 33.462077, -112.0369948 33.4620702, -112.0366272 33.462054)",0
Red Mountain Freeway,1721,30022761,180,869,1,184.9367353,2,65,,motorway,1,"LINESTRING (-112.0366356 33.4622066, -112.0370127 33.4622265, -112.0377087 33.4622783, -112.0386207 33.4623581)",0
,1722,30022809,870,726,1,151.9524552,1,59,,motorway,1,"LINESTRING (-112.0338348 33.4614572, -112.0335227 33.4615226, -112.0327334 33.461683, -112.032249 33.4617987)",0
,1723,30022812,871,726,1,152.2077762,1,45,,motorway,1,"LINESTRING (-112.0338533 33.4615144, -112.0335352 33.4615781, -112.0327506 33.4617285, -112.032249 33.4617987)",0
,1724,30022817,726,727,1,149.4030722,2,59,,motorway,1,"LINESTRING (-112.032249 33.4617987, -112.0318983 33.4618403, -112.0315379 33.4618669, -112.0311061 33.4618889, -112.0306513 33.4619563)",0
,1725,30022823,712,713,1,180.7614255,1,65,,motorway,1,"LINESTRING (-112.0318863 33.4622899, -112.0322627 33.4623319, -112.0327008 33.4623905, -112.0338147 33.462523)",0
,1726,30022824,713,879,1,354.0762994,1,50,,motorway,1,"LINESTRING (-112.0338147 33.462523, -112.0345248 33.4626499, -112.0355908 33.4628622, -112.0358998 33.4629123, -112.0362517 33.462991, -112.036579 33.4631212, -112.0368697 33.4632775, -112.0370591 33.4634192, -112.0372908 33.4636412)",0
Red Mountain Freeway,1727,30022845,727,877,1,98.12004855,5,65,,motorway,1,"LINESTRING (-112.0306513 33.4619563, -112.029594 33.4619311)",0
,1728,30022848,872,767,1,553.6047797,1,65,,motorway,1,"LINESTRING (-112.0306638 33.4620941, -112.0340316 33.4620761, -112.0348561 33.4620712, -112.0352624 33.4620711, -112.0358238 33.462078, -112.0366304 33.4621132)",0
Red Mountain Freeway,1729,30022851,873,619,1,434.5694923,2,65,,motorway,1,"LINESTRING (-112.0306692 33.4621561, -112.0311448 33.4621575, -112.0315584 33.4621619, -112.0318897 33.4621641, -112.0322584 33.4621647, -112.0326906 33.4621643, -112.0335757 33.4621607, -112.0340246 33.4621591, -112.0348552 33.4621531, -112.0353536 33.4621638)",0
Red Mountain Freeway,1730,30022851,619,180,1,119.0343946,2,65,,motorway,1,"LINESTRING (-112.0353536 33.4621638, -112.0358331 33.4621715, -112.0366356 33.4622066)",0
,1731,30022854,874,712,1,112.9187712,1,65,,motorway,1,"LINESTRING (-112.0306737 33.4622078, -112.0311547 33.462226, -112.0315649 33.4622552, -112.0318863 33.4622899)",0
,1732,30022860,1102,874,1,26.42399086,1,65,,motorway,1,"LINESTRING (-112.0303931 33.4621669, -112.0306737 33.4622078)",0
Red Mountain Freeway,1733,30022864,875,1102,1,74.03815397,3,65,,motorway,1,"LINESTRING (-112.029595 33.4621728, -112.0303931 33.4621669)",0
,1734,30022879,876,872,1,99.26619756,1,65,,motorway,1,"LINESTRING (-112.0295938 33.4621056, -112.0306638 33.4620941)",0
,1735,30022917,878,861,1,116.5247518,1,45,,motorway,1,"LINESTRING (-112.038638 33.4638315, -112.0387371 33.4635573, -112.0387872 33.4633588, -112.0388161 33.4632008, -112.0388324 33.4630035, -112.0388219 33.4628026)",0
,1736,30022918,2020,716,1,199.8335169,1,45,,motorway,1,"LINESTRING (-112.0396383 33.4629189, -112.0397984 33.4628332, -112.0401847 33.4627067, -112.0405199 33.462636, -112.040982 33.4625833, -112.0417055 33.4624668)",0
,1737,30022923,744,1481,1,24.54998591,1,45,,motorway,1,"LINESTRING (-112.0383632 33.4648061, -112.0384297 33.4645924)",0
,1738,30022935,728,714,1,77.7869727,1,65,,motorway,1,"LINESTRING (-112.0377114 33.4643286, -112.0377766 33.4644965, -112.0379308 33.4650035)",0
