name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
East 10th Street,67,5643860,339,337,,7.973537076,1,29,,residential,6,"LINESTRING (-111.9399806 33.4190558, -111.9398947 33.419057)",auto,1,0.016496973
East 10th Street,68,5643860,339,121,,4.399722828,1,29,,residential,6,"LINESTRING (-111.9399806 33.4190558, -111.940028 33.4190552)",auto,1,0.009102875
East 10th Street,69,5643860,121,339,,4.399722828,1,29,,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9399806 33.4190558)",auto,1,0.009102875
West 6th Street,70,5654759,4,386,,64.6584516,1,29,,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9447197 33.4243219, -111.945 33.4243234)",auto,1,0.133776107
West 6th Street,71,5654759,386,4,,64.6584516,1,29,,residential,6,"LINESTRING (-111.945 33.4243234, -111.9447197 33.4243219, -111.9443033 33.4243197)",auto,1,0.133776107
South Myrtle Avenue,72,5658805,124,195,,152.9786347,1,29,,residential,6,"LINESTRING (-111.9381462 33.4218977, -111.9381443 33.4218328, -111.9381441 33.421823, -111.9381352 33.4213307, -111.9381331 33.4212166, -111.9381205 33.4205221)",auto,1,0.31650752
South Myrtle Avenue,73,5658805,195,124,,152.9786347,1,29,,residential,6,"LINESTRING (-111.9381205 33.4205221, -111.9381331 33.4212166, -111.9381352 33.4213307, -111.9381441 33.421823, -111.9381443 33.4218328, -111.9381462 33.4218977)",auto,1,0.31650752
South Myrtle Avenue,74,5658805,195,63,,160.5793467,1,29,,residential,6,"LINESTRING (-111.9381205 33.4205221, -111.9381166 33.4203044, -111.9381172 33.4196844, -111.9381177 33.4191316, -111.9381178 33.419078)",auto,1,0.332233131
South Myrtle Avenue,75,5658805,63,195,,160.5793467,1,29,,residential,6,"LINESTRING (-111.9381178 33.419078, -111.9381177 33.4191316, -111.9381172 33.4196844, -111.9381166 33.4203044, -111.9381205 33.4205221)",auto,1,0.332233131
South College Avenue,76,5660964,60,73,,123.3422423,1,29,,tertiary,5,"LINESTRING (-111.9349278 33.4254396, -111.9349717 33.4252787, -111.9349838 33.4248448, -111.9349808 33.4243956, -111.9349809 33.4243346)",auto,1,0.255190846
South College Avenue,77,5660964,73,60,,123.3422423,1,29,,tertiary,5,"LINESTRING (-111.9349809 33.4243346, -111.9349808 33.4243956, -111.9349838 33.4248448, -111.9349717 33.4252787, -111.9349278 33.4254396)",auto,1,0.255190846
South College Avenue,78,5660964,73,65,,124.698982,1,29,,tertiary,5,"LINESTRING (-111.9349809 33.4243346, -111.9349826 33.4242604, -111.9349897 33.423492, -111.9349908 33.423379, -111.9349911 33.4233422, -111.9349907 33.423297, -111.9349899 33.4232132)",auto,1,0.257997894
South College Avenue,79,5660964,65,73,,124.698982,1,29,,tertiary,5,"LINESTRING (-111.9349899 33.4232132, -111.9349907 33.423297, -111.9349911 33.4233422, -111.9349908 33.423379, -111.9349897 33.423492, -111.9349826 33.4242604, -111.9349809 33.4243346)",auto,1,0.257997894
South College Avenue,80,5660964,65,54,,134.5179126,1,29,,tertiary,5,"LINESTRING (-111.9349899 33.4232132, -111.9349885 33.4231495, -111.9349766 33.4226097, -111.9349474 33.4220731, -111.9349431 33.4220042)",auto,1,0.278312923
South College Avenue,81,5660964,54,65,,134.5179126,1,29,,tertiary,5,"LINESTRING (-111.9349431 33.4220042, -111.9349474 33.4220731, -111.9349766 33.4226097, -111.9349885 33.4231495, -111.9349899 33.4232132)",auto,1,0.278312923
West 12th Street,82,5662409,52,23,,112.8262085,1,29,,residential,6,"LINESTRING (-111.9399894 33.4162047, -111.9405834 33.4162013, -111.941205 33.416204)",auto,1,0.233433535
West 12th Street,83,5662409,23,52,,112.8262085,1,29,,residential,6,"LINESTRING (-111.941205 33.416204, -111.9405834 33.4162013, -111.9399894 33.4162047)",auto,1,0.233433535
West 12th Street,84,5662409,23,24,,115.8260021,1,29,,residential,6,"LINESTRING (-111.941205 33.416204, -111.941821 33.4161933, -111.9424528 33.4161904)",auto,1,0.239640004
West 12th Street,85,5662409,24,23,,115.8260021,1,29,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.941821 33.4161933, -111.941205 33.416204)",auto,1,0.239640004
West 12th Street,86,5662410,13,387,,70.51083584,1,29,,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9448136 33.4160691, -111.945 33.4160696)",auto,1,0.145884488
West 12th Street,87,5662410,387,13,,70.51083584,1,29,,residential,6,"LINESTRING (-111.945 33.4160696, -111.9448136 33.4160691, -111.9442403 33.4160678)",auto,1,0.145884488
East Lemon Street,88,5663937,119,313,,40.98456239,1,29,,residential,6,"LINESTRING (-111.9370673 33.4162376, -111.9369754 33.4162264, -111.9368855 33.4162192, -111.9367114 33.41621, -111.9366276 33.4162059)",auto,1,0.084795646
East Lemon Street,89,5663937,313,119,,40.98456239,1,29,,residential,6,"LINESTRING (-111.9366276 33.4162059, -111.9367114 33.41621, -111.9368855 33.4162192, -111.9369754 33.4162264, -111.9370673 33.4162376)",auto,1,0.084795646
East Tyler Street,90,5664425,61,318,,97.30594526,1,29,,residential,6,"LINESTRING (-111.9289198 33.4202704, -111.928813 33.4202727, -111.9288 33.420273, -111.9280217 33.4202698, -111.9278714 33.4202692)",auto,1,0.201322645
East Tyler Street,91,5664425,318,61,,97.30594526,1,29,,residential,6,"LINESTRING (-111.9278714 33.4202692, -111.9280217 33.4202698, -111.9288 33.420273, -111.928813 33.4202727, -111.9289198 33.4202704)",auto,1,0.201322645
Hayden Mall,92,5665169,77,78,,98.2225393,1,29,,residential,6,"LINESTRING (-111.9338292 33.4183283, -111.9338279 33.4182646, -111.9338274 33.4182431, -111.933827 33.418222, -111.9338106 33.4174451)",auto,1,0.203219047
Hayden Mall,93,5665169,78,77,,98.2225393,1,29,,residential,6,"LINESTRING (-111.9338106 33.4174451, -111.933827 33.418222, -111.9338274 33.4182431, -111.9338279 33.4182646, -111.9338292 33.4183283)",auto,1,0.203219047
West 9th Street,94,5669181,7,388,,69.62524471,1,29,,residential,6,"LINESTRING (-111.9442498 33.420638, -111.945 33.420639)",auto,1,0.14405223
West 9th Street,95,5669181,388,7,,69.62524471,1,29,,residential,6,"LINESTRING (-111.945 33.420639, -111.9442498 33.420638)",auto,1,0.14405223
West 9th Street,96,5669184,195,267,,75.27822665,1,25,,residential,6,"LINESTRING (-111.9381205 33.4205221, -111.9382483 33.4205199, -111.9383704 33.4205178, -111.9384391 33.4205166, -111.9385716 33.4205143, -111.9387606 33.4205111, -111.9389314 33.4205069)",auto,1,0.180667744
West 9th Street,97,5669184,267,195,,75.27822665,1,25,,residential,6,"LINESTRING (-111.9389314 33.4205069, -111.9387606 33.4205111, -111.9385716 33.4205143, -111.9384391 33.4205166, -111.9383704 33.4205178, -111.9382483 33.4205199, -111.9381205 33.4205221)",auto,1,0.180667744
East 7th Street,98,5670078,49,137,,9.331686173,1,25,,residential,6,"LINESTRING (-111.9400687 33.4231956, -111.9399685 33.4231886)",auto,1,0.022396047
East 7th Street,99,5670078,137,49,,9.331686173,1,25,,residential,6,"LINESTRING (-111.9399685 33.4231886, -111.9400687 33.4231956)",auto,1,0.022396047
East 7th Street,100,5670078,137,64,,167.8864959,1,25,,residential,6,"LINESTRING (-111.9399685 33.4231886, -111.9398537 33.4231887, -111.9394081 33.4231893, -111.9386929 33.4231902, -111.9386834 33.4231902, -111.9382169 33.4231912, -111.9381595 33.4231914)",auto,1,0.40292759
East 7th Street,101,5670078,64,137,,167.8864959,1,25,,residential,6,"LINESTRING (-111.9381595 33.4231914, -111.9382169 33.4231912, -111.9386834 33.4231902, -111.9386929 33.4231902, -111.9394081 33.4231893, -111.9398537 33.4231887, -111.9399685 33.4231886)",auto,1,0.40292759
